spot	nb_rgp	nb_families	nb_unique_family_sets	mean_nb_genes	stdev_nb_genes	max_nb_genes	min_nb_genes
spot_160	4	17	3	6.75	4.193	13	4
spot_162	4	27	2	23.5	0.577	24	23
spot_109	4	11	2	11.25	0.5	12	11
spot_164	4	4	2	4.75	1.5	7	4
spot_139	4	3	1	4	0.0	4	4
spot_212	4	17	3	13	2.708	15	9
spot_246	4	34	4	16.5	5.066	24	13
spot_186	3	32	3	22	3.606	25	18
spot_118	3	55	2	47.667	1.155	49	47
spot_194	3	17	3	9	1.0	10	8
spot_196	3	4	1	4	0.0	4	4
spot_200	3	10	3	4.667	0.577	5	4
spot_271	3	9	2	5	1.732	7	4
spot_221	3	23	3	16.333	0.577	17	16
spot_201	3	69	2	52.333	2.309	55	51
spot_226	3	110	3	52	3.606	55	48
spot_159	3	6	3	4	0.0	4	4
spot_235	3	17	2	7.667	2.887	11	6
spot_216	3	4	1	4	0.0	4	4
spot_19	3	7	2	5.667	1.155	7	5
spot_172	3	5	1	5	0.0	5	5
spot_115	2	36	1	36	0.0	36	36
spot_116	2	36	1	36	0.0	36	36
spot_259	2	9	1	9	0.0	9	9
spot_188	2	8	1	8	0.0	8	8
spot_264	2	119	2	62.5	10.607	70	55
spot_122	2	16	2	8.5	3.536	11	6
spot_265	2	6	1	6	0.0	6	6
spot_267	2	31	2	22.5	2.121	24	21
spot_177	2	10	1	10	0.0	10	10
spot_152	2	50	1	50	0.0	50	50
spot_249	2	54	1	54	0.0	54	54
spot_106	2	5	2	4.5	0.707	5	4
spot_182	2	54	2	37.5	21.92	53	22
spot_110	2	18	1	18	0.0	18	18
spot_210	2	8	1	8	0.0	8	8
spot_233	2	8	2	6	1.414	7	5
spot_234	2	12	2	7	4.243	10	4
spot_239	2	22	2	21.5	0.707	22	21
spot_143	2	64	1	64	0.0	64	64
spot_215	2	131	2	75	4.243	78	72
spot_108	2	121	2	87.5	26.163	106	69
spot_218	2	49	2	43	1.414	44	42
spot_171	2	20	2	16	0.0	16	16
spot_46	2	7	2	5.5	0.707	6	5
spot_173	2	8	2	5	0.0	5	5
spot_258	1	6	1	6	0	6	6
spot_260	1	62	1	62	0	62	62
spot_189	1	5	1	5	0	5	5
spot_262	1	6	1	6	0	6	6
spot_261	1	20	1	21	0	21	21
spot_191	1	10	1	10	0	10	10
spot_263	1	65	1	65	0	65	65
spot_193	1	25	1	26	0	26	26
spot_101	1	11	1	12	0	12	12
spot_197	1	10	1	11	0	11	11
spot_268	1	33	1	33	0	33	33
spot_198	1	106	1	108	0	108	108
spot_269	1	54	1	54	0	54	54
spot_270	1	4	1	4	0	4	4
spot_282	1	8	1	8	0	8	8
spot_266	1	6	1	6	0	6	6
spot_283	1	47	1	47	0	47	47
spot_284	1	10	1	10	0	10	10
spot_290	1	4	1	4	0	4	4
spot_248	1	21	1	21	0	21	21
spot_202	1	9	1	9	0	9	9
spot_293	1	56	1	56	0	56	56
spot_272	1	4	1	4	0	4	4
spot_250	1	7	1	7	0	7	7
spot_273	1	31	1	31	0	31	31
spot_223	1	6	1	6	0	6	6
spot_225	1	8	1	8	0	8	8
spot_178	1	25	1	25	0	25	25
spot_274	1	5	1	5	0	5	5
spot_203	1	31	1	31	0	31	31
spot_153	1	44	1	44	0	44	44
spot_251	1	3	1	4	0	4	4
spot_204	1	31	1	32	0	32	32
spot_275	1	14	1	14	0	14	14
spot_276	1	9	1	11	0	11	11
spot_252	1	33	1	33	0	33	33
spot_205	1	9	1	9	0	9	9
spot_277	1	5	1	5	0	5	5
spot_228	1	5	1	6	0	6	6
spot_254	1	12	1	13	0	13	13
spot_206	1	5	1	6	0	6	6
spot_253	1	35	1	35	0	35	35
spot_278	1	7	1	7	0	7	7
spot_229	1	6	1	6	0	6	6
spot_157	1	5	1	5	0	5	5
spot_207	1	11	1	12	0	12	12
spot_158	1	12	1	12	0	12	12
spot_279	1	4	1	4	0	4	4
spot_208	1	3	1	4	0	4	4
spot_255	1	7	1	7	0	7	7
spot_232	1	2	1	4	0	4	4
spot_185	1	56	1	56	0	56	56
spot_161	1	15	1	15	0	15	15
spot_257	1	12	1	12	0	12	12
spot_281	1	46	1	46	0	46	46
spot_280	1	22	1	22	0	22	22
spot_236	1	19	1	19	0	19	19
spot_43	1	8	1	8	0	8	8
spot_285	1	15	1	15	0	15	15
spot_237	1	18	1	18	0	18	18
spot_166	1	6	1	6	0	6	6
spot_238	1	4	1	4	0	4	4
spot_286	1	4	1	4	0	4	4
spot_240	1	17	1	17	0	17	17
spot_287	1	8	1	8	0	8	8
spot_169	1	4	1	4	0	4	4
spot_241	1	6	1	6	0	6	6
spot_217	1	61	1	61	0	61	61
spot_170	1	5	1	5	0	5	5
spot_242	1	4	1	4	0	4	4
spot_289	1	11	1	11	0	11	11
spot_288	1	9	1	9	0	9	9
spot_243	1	7	1	7	0	7	7
spot_219	1	10	1	10	0	10	10
spot_244	1	6	1	6	0	6	6
spot_148	1	33	1	33	0	33	33
spot_245	1	8	1	8	0	8	8
spot_220	1	3	1	4	0	4	4
spot_247	1	14	1	14	0	14	14
spot_291	1	8	1	8	0	8	8
spot_292	1	97	1	102	0	102	102
spot_175	1	29	1	29	0	29	29
